itrial,d,method,coverage,width
<<<<<<< HEAD
0,1,naive,0.91,3.2513611952934323
0,1,jackknife,0.91,3.251436357180132
0,1,jackknife+,0.91,3.2513865679727427
0,1,jackknife-mm,0.91,3.259318245981573
0,1,CV+,0.91,3.2511000781758117
0,1,split,0.91,3.201805955934567
1,1,naive,0.9,3.2564085000646354
1,1,jackknife,0.9,3.2573858684573476
1,1,jackknife+,0.9,3.2573858684573476
1,1,jackknife-mm,0.9,3.2652081715561225
1,1,CV+,0.9,3.2627003525443405
1,1,split,0.91,3.3770806120352344
2,1,naive,0.91,3.255402778499241
2,1,jackknife,0.92,3.273876291622618
2,1,jackknife+,0.92,3.2718074207170353
2,1,jackknife-mm,0.92,3.283702685362694
2,1,CV+,0.91,3.2682732668701266
2,1,split,0.92,3.3030897756360993
3,1,naive,0.91,3.186414506673483
3,1,jackknife,0.91,3.188420837518371
3,1,jackknife+,0.91,3.1880338917486624
3,1,jackknife-mm,0.91,3.195722729622535
3,1,CV+,0.91,3.180657895616524
3,1,split,0.91,3.254596961267921
4,1,naive,0.84,3.149006210652905
4,1,jackknife,0.84,3.1495554123550424
4,1,jackknife+,0.84,3.151063162423908
4,1,jackknife-mm,0.84,3.1592003288845767
4,1,CV+,0.84,3.1564789544310163
4,1,split,0.84,3.1950693727846478
5,1,naive,0.9,3.325372194861901
5,1,jackknife,0.9,3.3255462750591405
5,1,jackknife+,0.9,3.3271750795676245
5,1,jackknife-mm,0.9,3.3354714363987314
5,1,CV+,0.9,3.31869817469789
5,1,split,0.95,3.6167641356918376
6,1,naive,0.92,3.448850668652887
6,1,jackknife,0.92,3.449006608871347
6,1,jackknife+,0.92,3.449256470302166
6,1,jackknife-mm,0.92,3.4591760517486607
6,1,CV+,0.92,3.4532196777197264
6,1,split,0.92,3.3555809174780165
7,1,naive,0.93,3.45835098198849
7,1,jackknife,0.93,3.4583528559164027
7,1,jackknife+,0.93,3.4583528559164027
7,1,jackknife-mm,0.93,3.4663259245011036
7,1,CV+,0.93,3.4673484041843152
7,1,split,0.93,3.376890116931179
8,1,naive,0.89,3.332361552482364
8,1,jackknife,0.89,3.334744393236313
8,1,jackknife+,0.89,3.3346918788002555
8,1,jackknife-mm,0.91,3.3416423786394542
8,1,CV+,0.91,3.336422818198644
8,1,split,0.92,3.4072999372969917
9,1,naive,0.9,3.3041213450973963
9,1,jackknife,0.9,3.305497252404808
9,1,jackknife+,0.9,3.304444210791857
9,1,jackknife-mm,0.9,3.3160645169037313
9,1,CV+,0.9,3.3009656910563114
9,1,split,0.91,3.3343103540559946
10,1,naive,0.91,3.3169686839682595
10,1,jackknife,0.91,3.3261308990954275
10,1,jackknife+,0.91,3.326785804736217
10,1,jackknife-mm,0.91,3.33311213111951
10,1,CV+,0.91,3.3310374432267316
10,1,split,0.91,3.3095081954829495
11,1,naive,0.94,3.318445861313123
11,1,jackknife,0.94,3.3200975606939225
11,1,jackknife+,0.94,3.3200975606939225
11,1,jackknife-mm,0.94,3.329352729076922
11,1,CV+,0.94,3.328641192382099
11,1,split,0.94,3.2697098550071577
12,1,naive,0.88,3.210699156442281
12,1,jackknife,0.88,3.2116262467044576
12,1,jackknife+,0.88,3.212870179627859
12,1,jackknife-mm,0.89,3.220264283149712
12,1,CV+,0.88,3.212392086185028
12,1,split,0.86,3.0511398058563977
13,1,naive,0.95,3.292132373071737
13,1,jackknife,0.95,3.2921389725356045
13,1,jackknife+,0.95,3.2918205567582195
13,1,jackknife-mm,0.95,3.303343711788176
13,1,CV+,0.95,3.271312215629521
13,1,split,0.91,3.101202910246701
14,1,naive,0.86,3.2062316618762647
14,1,jackknife,0.86,3.2066629562178175
14,1,jackknife+,0.86,3.2066629562178175
14,1,jackknife-mm,0.86,3.2155373791313506
14,1,CV+,0.86,3.200364572605044
14,1,split,0.87,3.457361699262307
15,1,naive,0.9,3.2847570312037533
15,1,jackknife,0.9,3.284853115686708
15,1,jackknife+,0.9,3.285652508232194
15,1,jackknife-mm,0.9,3.292955146232672
15,1,CV+,0.9,3.2849938433955863
15,1,split,0.9,3.2869019545111233
