itrial,d,method,coverage,width
0,5,naive,0.88,2.963206131473781
0,5,jackknife,0.9,3.1247893769421706
0,5,jackknife+,0.9,3.141403918415431
0,5,jackknife-mm,0.91,3.26930006341669
0,5,CV+,0.9,3.224693743526136
0,5,split,0.84,2.929744170616011
1,5,naive,0.79,3.034391811084544
1,5,jackknife,0.83,3.1822102814090076
1,5,jackknife+,0.83,3.1880289524545176
1,5,jackknife-mm,0.86,3.3574778768347575
1,5,CV+,0.84,3.23790935200976
1,5,split,0.94,4.558058727969578
2,5,naive,0.87,2.9058065004614706
2,5,jackknife,0.89,3.0383712190500693
2,5,jackknife+,0.89,3.0306757550655394
2,5,jackknife-mm,0.89,3.23046385877241
2,5,CV+,0.89,3.1553937426592307
2,5,split,0.96,4.170885247755351
3,5,naive,0.93,3.734193729985085
3,5,jackknife,0.95,4.004069142386775
3,5,jackknife+,0.94,4.002471489114696
3,5,jackknife-mm,0.96,4.184470214440552
3,5,CV+,0.95,3.970945484414561
3,5,split,0.95,3.8922829421024687
4,5,naive,0.89,3.6229990115929813
4,5,jackknife,0.89,3.7021570914670874
4,5,jackknife+,0.89,3.7134998798239307
4,5,jackknife-mm,0.89,3.8816589746238033
4,5,CV+,0.89,3.751108192444049
4,5,split,0.85,3.4655846674382063
5,5,naive,0.89,4.018607425806174
5,5,jackknife,0.93,4.260693316107428
5,5,jackknife+,0.91,4.248457414392168
5,5,jackknife-mm,0.95,4.471044135934147
5,5,CV+,0.91,4.1987584171428
5,5,split,0.92,3.972277078415175
6,5,naive,0.83,3.4167620778648295
6,5,jackknife,0.86,3.6832591160744896
6,5,jackknife+,0.85,3.6884064189184325
6,5,jackknife-mm,0.88,3.8632461106630753
6,5,CV+,0.87,3.7261368111682356
6,5,split,0.93,4.15159093828917
7,5,naive,0.82,2.74693650811873
7,5,jackknife,0.87,2.9060878251787408
7,5,jackknife+,0.87,2.941808160359204
7,5,jackknife-mm,0.88,3.0636943765504827
7,5,CV+,0.86,2.982854685061115
7,5,split,0.98,4.324480940768062
8,5,naive,0.9,2.9122460875006912
8,5,jackknife,0.9,2.9439955669759366
8,5,jackknife+,0.9,2.9844891293829967
8,5,jackknife-mm,0.91,3.0831723714258743
8,5,CV+,0.9,3.1401682429584388
8,5,split,0.9,3.279450748834044
9,5,naive,0.84,3.1864580183863462
9,5,jackknife,0.84,3.195533219342486
9,5,jackknife+,0.84,3.197403075097599
9,5,jackknife-mm,0.86,3.3329078768420466
9,5,CV+,0.86,3.2682761710884995
9,5,split,0.87,3.56404616355695
10,5,naive,0.82,3.5243605404908998
10,5,jackknife,0.85,3.7774961470676156
10,5,jackknife+,0.85,3.7673821858957783
10,5,jackknife-mm,0.89,3.96158721132281
10,5,CV+,0.84,3.702623891068226
10,5,split,0.88,3.7093165932178978
11,5,naive,0.87,3.146285319509616
11,5,jackknife,0.88,3.2703941768598317
11,5,jackknife+,0.89,3.2703941768598317
11,5,jackknife-mm,0.91,3.395173069729976
11,5,CV+,0.89,3.297832501409457
11,5,split,0.91,3.778742024187636
12,5,naive,0.95,3.3927690114979066
12,5,jackknife,0.96,3.629133223506593
12,5,jackknife+,0.96,3.606150500575828
12,5,jackknife-mm,0.96,3.786554771959496
12,5,CV+,0.95,3.4957434538451553
12,5,split,0.96,4.175626472555098
13,5,naive,0.9,3.343848053820998
13,5,jackknife,0.92,3.4563385077639315
13,5,jackknife+,0.92,3.4587517699356005
13,5,jackknife-mm,0.93,3.603986366625227
13,5,CV+,0.92,3.52634750452419
13,5,split,0.92,3.723755375761956
14,5,naive,0.93,3.6121657781496674
14,5,jackknife,0.94,3.8190318716059237
14,5,jackknife+,0.94,3.844241182338675
